system:index,count,label,.geo
-27032+8872,1,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41629380159453,39.84926600354198],[-121.41180222517393,39.84926600354198],[-121.41180222517393,39.853757579962576],[-121.41629380159453,39.853757579962576],[-121.41629380159453,39.84926600354198]]]}"
-27032+8873,2,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42078537801513,39.853757579962576],[-121.41180222517393,39.853757579962576],[-121.41180222517393,39.858249156383174],[-121.42078537801513,39.858249156383174],[-121.42078537801513,39.853757579962576]]]}"
-27033+8851,2,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.75494289870942],[-121.41629380159453,39.75494289870942],[-121.41629380159453,39.75943447513002],[-121.42527695443573,39.75943447513002],[-121.42527695443573,39.75494289870942]]]}"
-27033+8865,1,312,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42078537801513,39.81782496859779],[-121.41629380159453,39.81782496859779],[-121.41629380159453,39.82231654501839],[-121.42078537801513,39.82231654501839],[-121.42078537801513,39.81782496859779]]]}"
-27033+8866,4,314,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.41629380159453,39.81782496859779],[-121.41180222517393,39.81782496859779],[-121.41180222517393,39.82231654501839],[-121.41629380159453,39.82231654501839],[-121.41629380159453,39.81782496859779]]],[[[-121.42976853085632,39.82231654501839],[-121.41629380159453,39.82231654501839],[-121.41629380159453,39.82680812143899],[-121.42976853085632,39.82680812143899],[-121.42976853085632,39.82231654501839]]]]}"
-27033+8870,4,320,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42976853085632,39.84477442712138],[-121.42976853085632,39.84028285070078],[-121.42527695443573,39.84028285070078],[-121.42527695443573,39.83579127428018],[-121.42078537801513,39.83579127428018],[-121.42078537801513,39.84028285070078],[-121.41629380159453,39.84028285070078],[-121.41629380159453,39.84477442712138],[-121.42976853085632,39.84477442712138]]]}"
-27033+8871,2,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.84477442712138],[-121.41629380159453,39.84477442712138],[-121.41629380159453,39.84926600354198],[-121.42527695443573,39.84926600354198],[-121.42527695443573,39.84477442712138]]]}"
-27033+8872,1,320,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42078537801513,39.84926600354198],[-121.41629380159453,39.84926600354198],[-121.41629380159453,39.853757579962576],[-121.42078537801513,39.853757579962576],[-121.42078537801513,39.84926600354198]]]}"
-27034+8843,1,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.719010287344645],[-121.42078537801513,39.719010287344645],[-121.42078537801513,39.72350186376524],[-121.42527695443573,39.72350186376524],[-121.42527695443573,39.719010287344645]]]}"
-27034+8844,2,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42976853085632,39.72350186376524],[-121.42078537801513,39.72350186376524],[-121.42078537801513,39.72799344018584],[-121.42976853085632,39.72799344018584],[-121.42976853085632,39.72350186376524]]]}"
-27034+8856,1,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.777400780812414],[-121.42078537801513,39.777400780812414],[-121.42078537801513,39.78189235723301],[-121.42527695443573,39.78189235723301],[-121.42527695443573,39.777400780812414]]]}"
-27034+8865,1,337,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.81782496859779],[-121.42078537801513,39.81782496859779],[-121.42078537801513,39.82231654501839],[-121.42527695443573,39.82231654501839],[-121.42527695443573,39.81782496859779]]]}"
-27034+8872,1,321,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42527695443573,39.84926600354198],[-121.42078537801513,39.84926600354198],[-121.42078537801513,39.853757579962576],[-121.42527695443573,39.853757579962576],[-121.42527695443573,39.84926600354198]]]}"
-27035+8853,4,314,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.42527695443573,39.75943447513002],[-121.41629380159453,39.75943447513002],[-121.41629380159453,39.76392605155062],[-121.42527695443573,39.76392605155062],[-121.42527695443573,39.75943447513002]]],[[[-121.43426010727693,39.76392605155062],[-121.42527695443573,39.76392605155062],[-121.42527695443573,39.76841762797122],[-121.43426010727693,39.76841762797122],[-121.43426010727693,39.76392605155062]]]]}"
-27035+8854,1,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.42976853085632,39.76841762797122],[-121.42527695443573,39.76841762797122],[-121.42527695443573,39.772909204391816],[-121.42976853085632,39.772909204391816],[-121.42976853085632,39.76841762797122]]]}"
-27035+8861,2,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.43426010727693,39.799858662915405],[-121.42527695443573,39.799858662915405],[-121.42527695443573,39.804350239335996],[-121.43426010727693,39.804350239335996],[-121.43426010727693,39.799858662915405]]]}"
-27036+8863,2,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.43875168369752,39.808841815756594],[-121.42976853085632,39.808841815756594],[-121.42976853085632,39.81333339217719],[-121.43875168369752,39.81333339217719],[-121.43875168369752,39.808841815756594]]]}"
-27037+8862,2,312,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.43875168369752,39.804350239336],[-121.43426010727693,39.804350239336],[-121.43426010727693,39.808841815756594],[-121.43875168369752,39.808841815756594],[-121.43875168369752,39.804350239336]]],[[[-121.44324326011812,39.799858662915405],[-121.43875168369752,39.799858662915405],[-121.43875168369752,39.804350239336],[-121.44324326011812,39.804350239336],[-121.44324326011812,39.799858662915405]]]]}"
-27037+8864,1,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.43875168369752,39.81333339217719],[-121.43426010727693,39.81333339217719],[-121.43426010727693,39.81782496859779],[-121.43875168369752,39.81782496859779],[-121.43875168369752,39.81333339217719]]]}"
-27037+8868,1,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.43875168369752,39.831299697859585],[-121.43426010727693,39.831299697859585],[-121.43426010727693,39.83579127428018],[-121.43875168369752,39.83579127428018],[-121.43875168369752,39.831299697859585]]]}"
-27037+8869,3,320,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.43426010727693,39.831299697859585],[-121.42976853085632,39.831299697859585],[-121.42976853085632,39.83579127428018],[-121.43426010727693,39.83579127428018],[-121.43426010727693,39.831299697859585]]],[[[-121.44324326011812,39.83579127428018],[-121.43426010727693,39.83579127428018],[-121.43426010727693,39.84028285070078],[-121.44324326011812,39.84028285070078],[-121.44324326011812,39.83579127428018]]]]}"
-27038+8844,1,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44324326011812,39.72350186376524],[-121.43875168369752,39.72350186376524],[-121.43875168369752,39.72799344018584],[-121.44324326011812,39.72799344018584],[-121.44324326011812,39.72350186376524]]]}"
-27038+8851,3,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4522264129593,39.75494289870942],[-121.43875168369752,39.75494289870942],[-121.43875168369752,39.75943447513002],[-121.4522264129593,39.75943447513002],[-121.4522264129593,39.75494289870942]]]}"
-27038+8862,2,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.804350239335996],[-121.43875168369752,39.804350239335996],[-121.43875168369752,39.808841815756594],[-121.44773483653871,39.808841815756594],[-121.44773483653871,39.804350239335996]]]}"
-27038+8865,1,339,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44324326011812,39.81782496859779],[-121.43875168369752,39.81782496859779],[-121.43875168369752,39.82231654501839],[-121.44324326011812,39.82231654501839],[-121.44324326011812,39.81782496859779]]]}"
-27039+8841,3,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.71451871092405],[-121.44773483653871,39.71002713450345],[-121.4522264129593,39.71002713450345],[-121.4522264129593,39.70553555808285],[-121.44324326011812,39.70553555808285],[-121.44324326011812,39.71451871092405],[-121.44773483653871,39.71451871092405]]]}"
-27039+8845,1,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.72799344018584],[-121.44324326011812,39.72799344018584],[-121.44324326011812,39.73248501660644],[-121.44773483653871,39.73248501660644],[-121.44773483653871,39.72799344018584]]]}"
-27039+8850,1,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.750451322288825],[-121.44324326011812,39.750451322288825],[-121.44324326011812,39.75494289870942],[-121.44773483653871,39.75494289870942],[-121.44773483653871,39.750451322288825]]]}"
-27039+8858,1,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.78638393365361],[-121.44324326011812,39.78638393365361],[-121.44324326011812,39.79087551007421],[-121.44773483653871,39.79087551007421],[-121.44773483653871,39.78638393365361]]]}"
-27039+8861,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.44773483653871,39.799858662915405],[-121.44324326011812,39.799858662915405],[-121.44324326011812,39.804350239335996],[-121.44773483653871,39.804350239335996],[-121.44773483653871,39.799858662915405]]]}"
-27040+8841,4,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.45671798937991,39.71451871092405],[-121.45671798937991,39.71002713450345],[-121.4612095658005,39.71002713450345],[-121.4612095658005,39.70553555808285],[-121.4522264129593,39.70553555808285],[-121.4522264129593,39.71002713450345],[-121.44773483653871,39.71002713450345],[-121.44773483653871,39.71451871092405],[-121.45671798937991,39.71451871092405]]]}"
-27040+8860,33,315,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.45671798937991,39.75494289870942],[-121.4522264129593,39.75494289870942],[-121.4522264129593,39.75943447513002],[-121.45671798937991,39.75943447513002],[-121.45671798937991,39.75494289870942]]],[[[-121.4522264129593,39.79536708649481],[-121.44773483653871,39.79536708649481],[-121.44773483653871,39.799858662915405],[-121.4522264129593,39.799858662915405],[-121.4522264129593,39.79536708649481]]],[[[-121.4522264129593,39.75943447513002],[-121.42976853085632,39.75943447513002],[-121.42976853085632,39.75494289870942],[-121.42527695443573,39.75494289870942],[-121.42527695443573,39.76392605155062],[-121.43426010727693,39.76392605155062],[-121.43426010727693,39.76841762797122],[-121.42976853085632,39.76841762797122],[-121.42976853085632,39.772909204391816],[-121.41629380159453,39.772909204391816],[-121.41629380159453,39.777400780812414],[-121.42527695443573,39.777400780812414],[-121.42527695443573,39.78189235723301],[-121.42976853085632,39.78189235723301],[-121.42976853085632,39.79087551007421],[-121.43875168369752,39.79087551007421],[-121.43875168369752,39.79536708649481],[-121.44773483653871,39.79536708649481],[-121.44773483653871,39.79087551007421],[-121.44324326011812,39.79087551007421],[-121.44324326011812,39.777400780812414],[-121.43875168369752,39.777400780812414],[-121.43875168369752,39.772909204391816],[-121.44324326011812,39.772909204391816],[-121.44324326011812,39.76841762797122],[-121.4522264129593,39.76841762797122],[-121.4522264129593,39.75943447513002]]]]}"
-27040+8862,4,312,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4612095658005,39.808841815756594],[-121.4612095658005,39.804350239335996],[-121.4522264129593,39.804350239335996],[-121.4522264129593,39.799858662915405],[-121.44773483653871,39.799858662915405],[-121.44773483653871,39.808841815756594],[-121.4612095658005,39.808841815756594]]]}"
-27041+8845,5,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.73248501660644],[-121.4701927186417,39.72799344018584],[-121.4612095658005,39.72799344018584],[-121.4612095658005,39.72350186376524],[-121.45671798937991,39.72350186376524],[-121.45671798937991,39.72799344018584],[-121.4522264129593,39.72799344018584],[-121.4522264129593,39.73248501660644],[-121.4701927186417,39.73248501660644]]]}"
-27041+8853,3,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4612095658005,39.76841762797122],[-121.4612095658005,39.76392605155062],[-121.45671798937991,39.76392605155062],[-121.45671798937991,39.75943447513002],[-121.4522264129593,39.75943447513002],[-121.4522264129593,39.76841762797122],[-121.4612095658005,39.76841762797122]]]}"
-27041+8860,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.45671798937991,39.79536708649481],[-121.4522264129593,39.79536708649481],[-121.4522264129593,39.799858662915405],[-121.45671798937991,39.799858662915405],[-121.45671798937991,39.79536708649481]]]}"
-27042+8841,4,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4746842950623,39.71002713450345],[-121.45671798937991,39.71002713450345],[-121.45671798937991,39.71451871092405],[-121.4746842950623,39.71451871092405],[-121.4746842950623,39.71002713450345]]]}"
-27042+8852,2,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4657011422211,39.75943447513002],[-121.45671798937991,39.75943447513002],[-121.45671798937991,39.76392605155062],[-121.4657011422211,39.76392605155062],[-121.4657011422211,39.75943447513002]]]}"
-27042+8856,6,314,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.45671798937991,39.76841762797122],[-121.44773483653871,39.76841762797122],[-121.44773483653871,39.772909204391816],[-121.45671798937991,39.772909204391816],[-121.45671798937991,39.76841762797122]]],[[[-121.45671798937991,39.772909204391816],[-121.45671798937991,39.78189235723301],[-121.4701927186417,39.78189235723301],[-121.4701927186417,39.777400780812414],[-121.4612095658005,39.777400780812414],[-121.4612095658005,39.772909204391816],[-121.45671798937991,39.772909204391816]]]]}"
-27042+8858,1,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4612095658005,39.78638393365361],[-121.45671798937991,39.78638393365361],[-121.45671798937991,39.79087551007421],[-121.4612095658005,39.79087551007421],[-121.4612095658005,39.78638393365361]]]}"
-27043+8836,9,313,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.4612095658005,39.67858609955927],[-121.45671798937991,39.67858609955927],[-121.45671798937991,39.68307767597987],[-121.4612095658005,39.68307767597987],[-121.4612095658005,39.67858609955927]]],[[[-121.4612095658005,39.68307767597987],[-121.4612095658005,39.692060828821056],[-121.4836674479035,39.692060828821056],[-121.4836674479035,39.687569252400465],[-121.4746842950623,39.687569252400465],[-121.4746842950623,39.68307767597987],[-121.4612095658005,39.68307767597987]]]]}"
-27043+8840,2,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.70553555808285],[-121.4612095658005,39.70553555808285],[-121.4612095658005,39.71002713450345],[-121.4701927186417,39.71002713450345],[-121.4701927186417,39.70553555808285]]]}"
-27043+8853,1,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4657011422211,39.76392605155062],[-121.4612095658005,39.76392605155062],[-121.4612095658005,39.76841762797122],[-121.4657011422211,39.76841762797122],[-121.4657011422211,39.76392605155062]]]}"
-27043+8855,1,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4657011422211,39.772909204391816],[-121.4612095658005,39.772909204391816],[-121.4612095658005,39.777400780812414],[-121.4657011422211,39.777400780812414],[-121.4657011422211,39.772909204391816]]]}"
-27043+8857,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4657011422211,39.78189235723301],[-121.4612095658005,39.78189235723301],[-121.4612095658005,39.78638393365361],[-121.4657011422211,39.78638393365361],[-121.4657011422211,39.78189235723301]]]}"
-27044+8846,1,325,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.73248501660644],[-121.4657011422211,39.73248501660644],[-121.4657011422211,39.73697659302704],[-121.4701927186417,39.73697659302704],[-121.4701927186417,39.73248501660644]]]}"
-27044+8849,12,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4791758714829,39.750451322288825],[-121.4791758714829,39.745959745868234],[-121.4701927186417,39.745959745868234],[-121.4701927186417,39.741468169447636],[-121.4612095658005,39.741468169447636],[-121.4612095658005,39.73697659302704],[-121.45671798937991,39.73697659302704],[-121.45671798937991,39.73248501660644],[-121.44324326011812,39.73248501660644],[-121.44324326011812,39.73697659302704],[-121.4522264129593,39.73697659302704],[-121.4522264129593,39.745959745868234],[-121.4657011422211,39.745959745868234],[-121.4657011422211,39.750451322288825],[-121.4791758714829,39.750451322288825]]]}"
-27044+8854,1,329,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.76841762797122],[-121.4657011422211,39.76841762797122],[-121.4657011422211,39.772909204391816],[-121.4701927186417,39.772909204391816],[-121.4701927186417,39.76841762797122]]]}"
-27044+8855,1,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.772909204391816],[-121.4657011422211,39.772909204391816],[-121.4657011422211,39.777400780812414],[-121.4701927186417,39.777400780812414],[-121.4701927186417,39.772909204391816]]]}"
-27044+8867,1,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4701927186417,39.82680812143899],[-121.4657011422211,39.82680812143899],[-121.4657011422211,39.831299697859585],[-121.4701927186417,39.831299697859585],[-121.4701927186417,39.82680812143899]]]}"
-27045+8824,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.4746842950623,39.63367033535329],[-121.4701927186417,39.63367033535329],[-121.4701927186417,39.638161911773885],[-121.4746842950623,39.638161911773885],[-121.4746842950623,39.63367033535329]]]}"
