element_type,osmid,name,tourism,geometry,start_date,nodes,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,brand,brand:wikidata,building,designation,phone,shop,toilets,website,wheelchair,amenity,operator,self_service,cuisine,official_name,healthcare,addr:country,email,layer,source,brand:wikipedia,alt_name,drive_through,opening_hours,ref,takeaway,atm,internet_access,building:levels,wikidata,addr:unit,ele,gnis:feature_id,denomination,religion,historic,tomb,townhall:type,access,toilets:disposal,unisex,description,operator:type,office,craft,leisure,note,telecom,check_date,social_centre:for,architect,level,healthcare:counselling,operator:wikidata,operator:website,operator:wikipedia,building:part,shelter_type,bench,generator:method,generator:output:electricity,generator:source,generator:type,power,ways,type
way,469942419,,,"POLYGON ((-121.4497905 37.7444954, -121.4497831 37.7444975, -121.4497769 37.7445015, -121.4497727 37.7445068, -121.4497708 37.7445128, -121.4497715 37.7445191, -121.4497747 37.7445248, -121.4497801 37.7445294, -121.4497873 37.7445325, -121.4497953 37.7445335, -121.4498033 37.7445324, -121.4498104 37.7445292, -121.4498157 37.7445244, -121.4498188 37.7445185, -121.4498192 37.744512, -121.449817 37.7445059, -121.4498124 37.7445008, -121.449806 37.7444971, -121.4497984 37.7444952, -121.4497905 37.7444954))",,"[4641990659, 4641990660, 4641990661, 4641990662, 4641990663, 4641990664, 4641990665, 4641990647, 4641990648, 4641990649, 4641990654, 4641990655, 4641990656, 4641990657, 4641990658, 4641990650, 4641990651, 4641990652, 4641990653, 4641990659]",,,,,,,,,roof,,,,,,,,,,,,,,,1,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,469942420,,,"POLYGON ((-121.449075 37.7439878, -121.4489924 37.7440526, -121.4490473 37.7440963, -121.4491299 37.7440315, -121.449075 37.7439878))",,"[4641990679, 4641990680, 4641990681, 4641990682, 4641990679]",,,,,,,,,yes,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,543203595,,,"POLYGON ((-121.4257081 37.7401905, -121.4249793 37.7401907, -121.4249793 37.7403086, -121.4254159 37.7403085, -121.425416 37.7405503, -121.4257083 37.7405502, -121.4257081 37.7401905))",,"[5251259152, 5251259153, 5251259154, 5251259155, 5251259156, 5251259157, 5251259152]",Tracy,10,,CA,12th Street,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,543203727,,,"POLYGON ((-121.4239862 37.7400596, -121.4239863 37.7403033, -121.4242752 37.7403032, -121.4242751 37.7400595, -121.4239862 37.7400596))",,"[5251259202, 5251259203, 5251259204, 5251259205, 5251259202]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,543203728,,,"POLYGON ((-121.4244993 37.7400919, -121.4244998 37.740166, -121.4246847 37.7401653, -121.4246842 37.7400911, -121.4244993 37.7400919))",,"[5251259206, 5251259207, 5251259208, 5251259209, 5251259206]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001140,,,"POLYGON ((-121.4523808 37.7388781, -121.4523807 37.7387706, -121.4520814 37.7387709, -121.4520815 37.7388783, -121.4523808 37.7388781))",,"[6214944426, 6214944427, 6214944428, 6214944429, 6214944426]",,,,,,,,,roof,,,,,,,,,,,,,,,1,,en:Chevron Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001141,Dunkin',,"POLYGON ((-121.4525813 37.7383305, -121.4525809 37.7382776, -121.4526036 37.7382775, -121.4526032 37.7382354, -121.4523588 37.7382365, -121.4523596 37.7383316, -121.4525813 37.7383305))",,"[6214944430, 8757366116, 8757381418, 8757381417, 6214944432, 6214944433, 6214944430]",Tracy,1970,95376,CA,West 11th Street,,Dunkin',Q847743,yes,,+1 209-839-8367,,,https://locations.dunkindonuts.com/en/ca/tracy/1970-w-11th-st/354145,,fast_food,,,donut;coffee_shop,,,,,,,,Dunkin' Donuts,yes,Mo-Fr 05:00-20:00; Sa-Su 06:00-20:00,354145,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001142,,,"POLYGON ((-121.4519012 37.7390457, -121.4519018 37.7387716, -121.4517481 37.7387714, -121.4517476 37.7390455, -121.4519012 37.7390457))",,"[6214944434, 6214944435, 6214944436, 6214944437, 6214944434]",,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001143,Wells Fargo,,"POLYGON ((-121.4513479 37.7390467, -121.4513464 37.7387116, -121.4510939 37.7387123, -121.4510956 37.7390475, -121.4513479 37.7390467))",,"[6214944440, 6214944441, 6214944442, 6214944443, 6214944440]",,,,,,,Wells Fargo,Q744149,yes,,,,,,,bank,,,,,,,,,,,,no,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001144,McDonald's,,"POLYGON ((-121.4507231 37.7390226, -121.4507229 37.738998, -121.4507178 37.738998, -121.4507171 37.7388853, -121.4504435 37.7388862, -121.4504436 37.7388977, -121.4504153 37.7388978, -121.4504159 37.7390103, -121.4504519 37.7390102, -121.450452 37.7390234, -121.4505365 37.7390231, -121.4505365 37.739012, -121.4506172 37.7390118, -121.4506173 37.739023, -121.4507231 37.7390226))",,"[6214944444, 8757381444, 8757381445, 6214944445, 8757381443, 8757381442, 6214944446, 8757381441, 8757381440, 6214944447, 8757381439, 8757381438, 8757381437, 8757381436, 6214944444]",Tracy,1820,95376-3736,CA,West 11th Street,yes,McDonald's,Q38076,yes,,+1 209-237-2566,,,https://www.mcdonalds.com/us/en-us/location/12264.html,yes,fast_food,,,burger,,,,,,,,,yes,05:00-24:00,,yes,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,664001145,Jack in the Box,,"POLYGON ((-121.4519433 37.7399099, -121.4519414 37.7396591, -121.451898 37.7396593, -121.4518978 37.7396305, -121.451765 37.7396311, -121.4517671 37.7399108, -121.4519433 37.7399099))",,"[6214944448, 8857838515, 8857838514, 6214944449, 6214944450, 6214944451, 6214944448]",Tracy,1935,95376,CA,West 11th Street,,Jack in the Box,Q1538507,yes,,+1 209-836-2087,,,https://locations.jackinthebox.com/us/ca/tracy/1935-w-11th-st,,fast_food,,,burger,,,,,,,,,yes,24/7,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,679137884,Grand Theatre Center for the Arts,,"POLYGON ((-121.4264937 37.7359859, -121.4259471 37.7359782, -121.4259391 37.7356346, -121.4264181 37.7356435, -121.426411 37.7357908, -121.4265132 37.7357944, -121.4264937 37.7359859))",,"[6359396767, 6359396768, 6359396769, 6359396770, 6359396771, 6359396772, 6359396767]",Tracy,723,95376,CA,n central avenue,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2,Q44885008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996390,,,"POLYGON ((-121.4238438 37.7280419, -121.4236218 37.7280409, -121.4236208 37.7281569, -121.4237868 37.7281579, -121.4237878 37.7281059, -121.4238438 37.7281059, -121.4238438 37.7280419))",,"[6838459094, 6838459095, 6838459096, 6838459097, 6838459098, 6838459099, 6838459094]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996391,,,"POLYGON ((-121.4237868 37.7278946, -121.4236718 37.7278946, -121.4236718 37.7280136, -121.4238618 37.7280136, -121.4238618 37.7279376, -121.4237868 37.7279376, -121.4237868 37.7278946))",,"[6838459100, 6838459101, 6838459102, 6838459103, 6838459104, 6838459105, 6838459100]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996392,,,"POLYGON ((-121.4235768 37.727976, -121.4235228 37.727976, -121.4235228 37.72791, -121.4234258 37.72791, -121.4234258 37.72806, -121.4235768 37.72806, -121.4235768 37.727976))",,"[6838459106, 6838459107, 6838459108, 6838459109, 6838459110, 6838459111, 6838459106]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996393,,,"POLYGON ((-121.423252 37.7280522, -121.423389 37.7280522, -121.423389 37.7279162, -121.423252 37.7279162, -121.423252 37.7280522))",,"[6838459112, 6838459113, 6838459114, 6838459115, 6838459112]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996394,,,"POLYGON ((-121.4232235 37.7279183, -121.4230865 37.7279183, -121.4230865 37.7280443, -121.4232235 37.7280443, -121.4232235 37.7279183))",,"[6838459116, 6838459117, 6838459118, 6838459119, 6838459116]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,729996395,,,"POLYGON ((-121.4230594 37.7279208, -121.4229514 37.7279208, -121.4229524 37.7280738, -121.4230594 37.7280738, -121.4230594 37.7279208))",,"[6838459120, 6838459121, 6838459122, 6838459123, 6838459120]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255926,,,"POLYGON ((-121.426931 37.740273, -121.427371 37.740273, -121.427371 37.740158, -121.427159 37.740158, -121.427159 37.740061, -121.426931 37.740061, -121.426931 37.740273))",,"[6841180077, 6841180078, 6841180079, 6841180080, 6841180081, 6841180082, 6841180077]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255928,,,"POLYGON ((-121.4274968 37.7400614, -121.4274968 37.7397854, -121.4273118 37.7397854, -121.4273118 37.7400614, -121.4274968 37.7400614))",,"[6841295789, 6841295790, 6841295791, 6841295792, 6841295789]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255929,,,"POLYGON ((-121.423157 37.727582, -121.423253 37.727582, -121.423253 37.727456, -121.423111 37.727456, -121.423111 37.727558, -121.423157 37.727558, -121.423157 37.727582))",,"[6841295793, 6841295794, 6841295795, 6841295796, 6841295797, 6841295798, 6841295793]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255930,,,"POLYGON ((-121.423331 37.727635, -121.423422 37.727635, -121.423422 37.727486, -121.423288 37.727486, -121.423288 37.727567, -121.423331 37.727567, -121.423331 37.727635))",,"[6841295799, 6841295800, 6841295801, 6841295802, 6841295803, 6841295804, 6841295799]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255931,,,"POLYGON ((-121.4234692 37.7275148, -121.4234692 37.7276568, -121.4236052 37.7276568, -121.4236052 37.7275148, -121.4234692 37.7275148))",,"[6841295805, 6841295806, 6841295807, 6841295808, 6841295805]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255932,,,"POLYGON ((-121.423657 37.7274995, -121.423655 37.7276405, -121.423811 37.7276425, -121.423814 37.7275015, -121.423657 37.7274995))",,"[6841295809, 6841295810, 6841295811, 6841295812, 6841295809]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255933,,,"POLYGON ((-121.4238588 37.7276645, -121.4239438 37.7276715, -121.4239508 37.7276205, -121.4240168 37.7276255, -121.4240338 37.7275105, -121.4238828 37.7274975, -121.4238588 37.7276645))",,"[6841295813, 6841295814, 6841295815, 6841295816, 6841295817, 6841295818, 6841295813]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255934,,,"POLYGON ((-121.4239823 37.7273785, -121.4241313 37.7273805, -121.4241353 37.7272045, -121.4239863 37.7272025, -121.4239823 37.7273785))",,"[6841295819, 6841295820, 6841295821, 6841295822, 6841295819]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255935,,,"POLYGON ((-121.4239325 37.7273587, -121.4239325 37.7272147, -121.4237935 37.7272147, -121.4237935 37.7273587, -121.4239325 37.7273587))",,"[6841295823, 6841295824, 6841295825, 6841295826, 6841295823]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255936,,,"POLYGON ((-121.4237151 37.7272453, -121.423716 37.7271959, -121.4236274 37.7271948, -121.4236245 37.7273433, -121.4237476 37.7273448, -121.4237485 37.7273017, -121.4237785 37.7273021, -121.4237796 37.7272461, -121.4237151 37.7272453))",,"[6841295827, 6841295833, 6841295828, 6841295829, 6841295830, 6841295831, 6841295832, 6841295834, 6841295827]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255937,,,"POLYGON ((-121.423465 37.7272903, -121.423465 37.7273643, -121.423593 37.7273643, -121.423593 37.7272153, -121.4235 37.7272153, -121.4235 37.7272903, -121.423465 37.7272903))",,"[6841295835, 6841295836, 6841295837, 6841295838, 6841295839, 6841295840, 6841295835]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255938,,,"POLYGON ((-121.4232726 37.7273624, -121.4234256 37.7273624, -121.4234256 37.7272804, -121.4233636 37.7272804, -121.4233636 37.7272104, -121.4232726 37.7272104, -121.4232726 37.7273624))",,"[6841295841, 6841295842, 6841295843, 6841295844, 6841295845, 6841295846, 6841295841]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255939,,,"POLYGON ((-121.4232526 37.7272868, -121.4231179 37.7272598, -121.4230809 37.7273752, -121.4232157 37.7274022, -121.4232526 37.7272868))",,"[6841295847, 6841295848, 6841295849, 6841295850, 6841295847]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255940,,,"POLYGON ((-121.422907 37.726797, -121.422907 37.726943, -121.423047 37.726943, -121.423047 37.726797, -121.422907 37.726797))",,"[6841295851, 6841295852, 6841295853, 6841295854, 6841295851]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255941,,,"POLYGON ((-121.423082 37.726775, -121.423082 37.726943, -121.423227 37.726943, -121.423227 37.726775, -121.423082 37.726775))",,"[6841295855, 6841295856, 6841295857, 6841295858, 6841295855]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255942,,,"POLYGON ((-121.4233923 37.7269434, -121.4233923 37.7267934, -121.4232583 37.7267934, -121.4232583 37.7268844, -121.4232953 37.7268844, -121.4232953 37.7269434, -121.4233923 37.7269434))",,"[6841295859, 6841295860, 6841295861, 6841295862, 6841295863, 6841295864, 6841295859]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255943,,,"POLYGON ((-121.423562 37.726901, -121.423562 37.726797, -121.423425 37.726797, -121.423425 37.726939, -121.423519 37.726939, -121.423519 37.726901, -121.423562 37.726901))",,"[6841295865, 6841295866, 6841295867, 6841295868, 6841295869, 6841295870, 6841295865]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255944,,,"POLYGON ((-121.4236298 37.7269251, -121.4236298 37.7269481, -121.4237368 37.7269481, -121.4237368 37.7268171, -121.4235968 37.7268171, -121.4235968 37.7269251, -121.4236298 37.7269251))",,"[6841295871, 6841295872, 6841295873, 6841295874, 6841295875, 6841295876, 6841295871]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255945,,,"POLYGON ((-121.423911 37.726788, -121.423771 37.726788, -121.423771 37.72693, -121.423911 37.72693, -121.423911 37.726788))",,"[6841295877, 6841295878, 6841295879, 6841295880, 6841295877]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255946,,,"POLYGON ((-121.4239608 37.7267893, -121.4239512 37.7268661, -121.4239926 37.7268693, -121.423983 37.7269463, -121.4240812 37.7269539, -121.4241004 37.7268002, -121.4239608 37.7267893))",,"[6841295881, 6841295886, 6841295885, 6841295882, 6841295883, 6841295884, 6841295881]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255947,,,"POLYGON ((-121.424124 37.726963, -121.424212 37.726971, -121.42422 37.726914, -121.424276 37.726919, -121.424295 37.726792, -121.424152 37.726779, -121.424124 37.726963))",,"[6841295887, 6841295888, 6841295889, 6841295890, 6841295891, 6841295892, 6841295887]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255948,,,"POLYGON ((-121.4242288 37.7264973, -121.4242288 37.7266733, -121.4243388 37.7266733, -121.4243388 37.7266373, -121.4243738 37.7266373, -121.4243738 37.7264973, -121.4242288 37.7264973))",,"[6841295893, 6841295894, 6841295895, 6841295896, 6841295897, 6841295898, 6841295893]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255949,,,"POLYGON ((-121.4241888 37.7265053, -121.4240768 37.7265053, -121.4240768 37.7266543, -121.4241888 37.7266543, -121.4241888 37.7265053))",,"[6841295899, 6841295900, 6841295901, 6841295902, 6841295899]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255950,,,"POLYGON ((-121.424018 37.726538, -121.423986 37.726538, -121.423986 37.726504, -121.423881 37.726504, -121.423881 37.726642, -121.424018 37.726642, -121.424018 37.726538))",,"[6841295903, 6841295904, 6841295905, 6841295906, 6841295907, 6841295908, 6841295903]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,730255951,,,"POLYGON ((-121.4238462 37.7266437, -121.4238462 37.7265037, -121.4237062 37.7265037, -121.4237062 37.7266437, -121.4238462 37.7266437))",,"[6841295909, 6841295910, 6841295911, 6841295912, 6841295909]",,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
